liga,position,name,team,score,active defence,aerial threat,chance prevention,composure,defensive heading,intelligent defence,involvement,progression,territorial dominance,minutes,age,transfer value,height,foot,passing quality,providing teammates,run quality,box threat,effectiveness,finishing,hold up play,poaching,pressing,dribbling,tier,spielertyp,rank,competition,markt,SC_PSV-99,SC_HSR Distance P60BIP,SC_Sprint Distance P60BIP,SC_HI Distance BIP P60BIP,SC_Explosive Acceleration to Sprint Count P60BIP,SC_HSR Distance OTIP P30OTIP,SC_Sprint Distance OTIP P30OTIP,SC_HI Distance OTIP P30OTIP,SC_Explosive Acceleration to Sprint Count OTIP P30OTIP,SC_TOP 3 Time to HSR,SC_TOP 3 Time to HSR post-COD,SC_TOP 3 Time to Sprint,SC_TOP 3 Time to 505 around 90,SC_Minutes,SC_BIP_raw,SC_OTIP_raw,SC_Burst_raw,Pct_Speed,Pct_BIP,Pct_OTIP,Pct_Burst,Pct_Speed_global,Pct_Burst_global,Pct_TimeToHSR_global,Pct_OTIP_global,Pct_BIP_global,Pct_SprintDist_global,Pct_HSRDist_global,Pct_ExpAccOTIP_global,Pct_ExpAccBIP_global,Pct_HSRDistOTIP_global,Physical Score,Physical Score 3L,BL Level,3L Level,Pct_involvement,Pct_finishing,Pct_providing teammates,Pct_dribbling,Pct_passing quality,Pct_box threat,Pct_pressing,Pct_run quality,Pct_poaching,Pct_aerial threat,Pct_hold up play,Pct_intelligent defence,Pct_progression,Pct_active defence,Pct_territorial dominance,Pct_chance prevention,Pct_composure,Pct_defensive heading,Pct_Score,OBV_Total Impact,OBV_Impact per 90,OBV_Shooting,OBV_Final Ball,OBV_Carries,OBV_Buildup Pass,OBV_Defense,OBV_Pen Area
GER - 2nd Bundesliga,Fullback,Fabian Holland,Darmstadt 98,-0.1488477230282264,0.1130310044570081,,-0.4514824277750648,,,-0.0145998041705907,0.231367232821637,0.3318717794604973,-1.0501394051805586,554,35.0,500000.0,172.0,Left,0.4176466088926065,-0.255832879390293,-0.66149161636928,,,,,,,,Tier 2,Defensiver Außenverteidiger,,,,26.73,498.48,121.91,620.39,0.63,318.57,75.07,393.65,0.59,0.83,0.9,1.95,1.99,65.99,184.91,134.07,1.1028205128205129,1.020408163265306,14.912280701754383,31.57894736842105,39.47368421052632,1.032702237521515,1.7656500802568218,7.0606060606060606,25.47332185886403,6.769936890418818,3.671830177854274,4.245553643144005,55.22088353413655,26.41996557659208,13.941480206540447,1.4,19.2,⚫ Darunter,—,70.17543859649122,,31.57894736842105,,85.96491228070175,,,3.508771929824561,,,,57.89473684210527,85.96491228070175,49.122807017543856,5.263157894736842,31.57894736842105,,,43.85964912280701,45.0,49.0,46.0,41.0,42.0,56.0,47.0,44.0
RL West,Winger,Johannes Dörfler,FC Bocholt,-0.1489006840721571,,,,,,,-0.3594351972811628,,,351,29.0,150000.0,186.0,Right,0.1523238512959093,-0.150487247982633,-0.4873979968746679,-0.0130126534314902,-0.1466893301467834,0.1578085190792094,,,-0.3573103711678344,-0.1359057301399615,Tier 3,Breiter Spieler,,,,28.94,664.53,206.74,871.27,1.27,402.94,108.42,511.36,0.0,0.74,0.81,1.43,2.11,68.71,333.74,108.42,0.6993006993006994,34.21052631578947,42.06896551724138,38.62068965517241,40.689655172413794,45.16129032258064,37.76824034334764,28.61922141119221,29.994340690435767,41.02999434069044,27.872099603848334,17.940011318619128,15.534804753820032,60.69609507640068,60.15846066779853,41.9,36.6,⚫ Darunter,—,28.965517241379317,60.0,31.03448275862069,19.310344827586206,58.620689655172406,47.58620689655172,33.793103448275865,17.93103448275862,,,,,,,,,,,17.93103448275862,51.0,43.0,47.0,59.0,48.0,50.0,55.0,51.0
RL West,Fullback,Jaden Korzynietz,Bochum II,-0.1492317216646976,-0.0797784205970579,,-0.1353818859501963,,,-0.2083530859701681,0.2638349388311097,-0.1770188942064696,-0.2188760197495003,456,21.0,,,Left,-0.1045500541033828,-0.2678383242300421,-0.4151237490065714,,,,,,,,Tier 3,Breiter Verteidiger,,,,27.58,678.97,173.75,852.72,1.28,392.3,98.53,490.83,1.22,0.7,0.7,1.51,2.26,69.08,301.75,220.53,1.882251655629139,8.695652173913043,42.30769230769231,76.92307692307693,92.3076923076923,7.716580608146874,23.15409309791332,37.0,72.40390131956397,37.693631669535286,16.408491107286288,44.463568559954105,92.05393000573724,63.62593230063109,48.7091222030981,15.4,60.8,⚫ Darunter,—,63.07692307692307,,32.30769230769231,,42.30769230769231,,,23.846153846153847,,,,36.15384615384615,25.384615384615383,31.538461538461537,41.53846153846154,52.30769230769232,,,22.30769230769231,42.0,39.0,46.0,42.0,41.0,49.0,40.0,44.0
U19 BL,Midfielder,Niklas Langer,Hallescher FC U19,-0.1492525613263652,-0.9561863491790404,,,,,-0.3864460909394659,-0.4407444701139654,-0.00778098675553,,308,19.0,,,,0.1933713984324332,-0.3641904200410647,,0.6015154690049638,0.1664409589807473,,,,,,Tier 4,Unterstützender Mittelfeldspieler,,,,28.6,677.91,200.53,878.44,0.0,292.02,93.47,385.49,0.0,,,,2.41,85.33,200.53,93.47,0.0,79.8019801980198,66.88741721854305,55.794701986754966,23.923841059602648,81.51085141903171,,,46.471816283924845,59.14023372287145,73.95659432387312,46.24373956594324,21.118530884808013,12.917362270450752,9.557595993322204,-81.5,50.7,—,—,21.19205298013245,,15.066225165562914,,62.251655629139066,88.0794701986755,,,,,,13.741721854304636,46.026490066225165,2.6490066225165565,,,,,21.85430463576159,61.0,47.0,61.0,57.0,64.0,37.0,57.0,67.0
BL DE,Central Defender,Rav van den Berg,Köln,-0.1492972823281786,-0.5055258296695128,0.0376242816536315,-0.086638413769869,0.4831117293242984,-0.1103936875507499,-0.3181252973106787,0.1397894372757435,-0.8053553986077094,-0.1781623622987611,1143,21.0,4000000.0,191.0,Right,,,,,,,,,,,Tier 1,Positionssicherer Innenverteidiger,,,,29.93,352.32,128.66,480.98,0.71,239.18,100.87,340.05,0.6,0.71,0.76,1.33,1.98,94.97,199.66,160.87,1.35187969924812,91.23711340206184,64.81481481481481,67.5925925925926,74.07407407407408,93.47826086956522,69.94609164420486,36.90248565965583,69.74389517569982,64.38356164383562,49.49374627754616,9.112567004169149,76.05717689100655,74.35973793924956,10.005955926146516,76.7,68.4,🔥 Top-Athlet,—,58.333333333333336,,,,,,,,,30.55555555555556,,23.14814814814815,8.333333333333332,9.25925925925926,52.77777777777778,73.14814814814815,76.85185185185185,25.0,23.61111111111111,42.0,36.0,45.0,46.0,43.0,44.0,44.0,47.0
U17 BL,Midfielder,Tomasz Piechocinski,Tennis Borussia Berlin U17,-0.1493691800496695,0.5151610103126318,,,,,0.2771377252124699,-0.1567801752869414,-0.2632049022653933,,905,16.0,,,,-0.3933904842798204,-0.3934927429913806,-0.6310146910492529,,,,,,,,Tier 4,,,,,26.0,526.09,49.04,575.13,0.0,360.96,37.46,398.42,0.0,0.82,,,2.23,76.69,49.04,37.46,0.0,14.634146341463412,22.058823529411764,27.94117647058824,28.49264705882353,6.3439065108514185,,11.366742596810935,5.469728601252609,1.961602671118531,2.2328881469115194,11.89482470784641,21.118530884808013,12.917362270450752,31.42737896494157,-6.3,4.3,—,—,36.213235294117645,,15.073529411764705,,18.38235294117647,,,,,,,80.33088235294117,24.63235294117647,75.73529411764706,,,,,33.455882352941174,44.0,41.0,47.0,42.0,43.0,46.0,48.0,45.0
RL Bayern,Fullback,Ben Fischer,Bayreuth,-0.149428625308733,-0.4439568255523741,,-1.1733426096061654,,,0.0350452144716699,-0.3488732392714977,-0.2306328029299689,1.0889496939046348,113,22.0,75000.0,180.0,Right,-0.2091341002108837,-0.4107387056054072,0.3478257470213947,,,,,,,,Tier 3,Breiter Verteidiger,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,8.333333333333332,8.333333333333332,14.035087719298245,,,,,,,,,,,,,—,—,29.82456140350877,,25.438596491228072,,28.07017543859649,,,85.08771929824562,,,,50.877192982456144,24.561403508771928,14.035087719298245,95.6140350877193,7.894736842105263,,,30.701754385964914,36.0,35.0,45.0,38.0,32.0,49.0,33.0,46.0
GER - 2nd Bundesliga,Central Defender,Jesper Daland,Fortuna Düsseldorf,-0.1494319922289478,-0.2636253487848609,0.4260799120960847,-0.2774174121463139,-0.1798556552566604,0.46819189967475,-0.427738680795275,-0.2008157472100828,-0.3287208949861992,-0.5609860026519734,1584,26.0,4500000.0,191.0,Right,,,,,,,,,,,Tier 2,Positionssicherer Innenverteidiger,,,,28.59,444.96,127.04,572.01,0.28,331.79,105.81,437.6,0.14,0.74,0.74,1.58,1.91,93.03,155.04000000000002,119.81,0.7729113924050632,60.215053763440864,45.54455445544555,45.54455445544555,32.67326732673268,56.25372245384157,19.2722371967655,25.87635436583811,43.47826086956522,38.77307921381775,47.8856462179869,46.69446098868374,22.066706372840976,31.864204883859443,62.001191185229295,29.8,42.3,⚫ Darunter,—,23.76237623762376,,,,,,,,,48.51485148514851,,14.85148514851485,24.752475247524757,13.861386138613865,17.82178217821782,37.62376237623762,12.871287128712872,62.37623762376238,4.950495049504951,50.0,49.0,49.0,47.0,46.0,57.0,52.0,49.0
RL Nord,Striker,Tobias Steffen,Kickers Emden,-0.1494451396438313,,0.5252966197955153,,,,,-0.1937465884760069,,,333,33.0,,175.0,Right,,0.1795778401392789,-0.3668853460795657,,,-0.6402483443361273,0.1935093757882108,-0.3549638881684534,-0.5381007858135024,,Tier 3,Wandspieler,,,,27.5,546.22,137.56,683.78,0.0,338.7,90.2,428.9,0.0,0.77,,,2.13,63.26,137.56,90.2,0.0,9.090909090909092,27.884615384615387,38.46153846153847,17.78846153846154,11.26126126126126,,17.739575713240676,21.37907137907138,3.465003465003465,7.6923076923076925,6.999306999307,12.785862785862786,4.158004158004158,44.83714483714484,-11.3,12.4,—,—,45.19230769230769,23.07692307692308,83.65384615384616,,,,8.653846153846153,14.423076923076922,18.269230769230766,78.84615384615384,33.65384615384615,,,,,,,,18.269230769230766,57.0,52.0,61.0,61.0,50.0,51.0,48.0,51.0
U17 BL,Fullback,Benedikt Modlmeier,Augsburg U17,-0.149447328188918,-0.8203976082873774,,-0.2146328375692372,,,-0.1598381984614502,-0.2002566452637311,0.0562249119703448,-0.1383549413389216,140,,,,,0.5174593555930161,-0.0789457898415653,-0.3062842005013402,,,,,,,,Tier 4,Defensiver Außenverteidiger,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,10.113636363636363,10.113636363636363,18.977272727272727,,,,,,,,,,,,,—,—,36.13636363636364,,46.36363636363636,,83.63636363636363,,,34.090909090909086,,,,38.40909090909091,55.90909090909091,3.8636363636363633,47.72727272727273,45.22727272727273,,,36.59090909090909,41.0,59.0,46.0,42.0,39.0,55.0,32.0,45.0
RL West,Midfielder,Konstantin Gerhardt,Wiedenbrück,-0.1494689129583153,-0.2690671481610485,,,,,-0.2244759948820711,-0.424326764133798,0.0973077460815275,,2143,21.0,,175.0,Both,0.069780222855381,-0.3187236476611023,,-0.1238619007865292,-0.0023838169788822,,,,,,Tier 3,Unterstützender Mittelfeldspieler,,,,28.99,927.62,278.73,1206.35,0.78,569.56,166.78,736.34,0.17,0.56,0.57,1.19,1.79,92.12,356.73,183.78,1.0103361344537816,86.25954198473282,89.87341772151899,91.13924050632912,69.62025316455697,87.6043405676127,96.55172413793105,98.74715261958995,89.60334029227558,90.98497495826378,92.57095158597664,90.73455759599332,57.47078464106845,83.63939899833055,92.65442404006676,92.1,90.1,🔥 Top-Athlet,—,15.18987341772152,,31.64556962025317,,41.13924050632912,60.12658227848101,,,,,,24.68354430379747,42.40506329113924,23.417721518987346,,,,,16.455696202531644,60.0,38.0,58.0,56.0,55.0,45.0,67.0,54.0
U17 BL,Midfielder,Lionel Huete,Wuppertaler SV U17,-0.1494798600305482,-0.0092441717350184,,,,,-0.194887027982368,-0.2779695864362055,-0.0159576203129481,,1090,,,,,-0.1444980981225163,-0.1496854005613623,-0.2541171150634188,,,,,,,,Tier 4,,,,,25.99,414.91,45.31,460.22,0.0,256.49,33.55,290.04,0.0,0.64,0.72,,2.32,69.99,45.31,33.55,0.0,13.858093126385809,20.40441176470588,25.919117647058822,28.49264705882353,6.114357262103506,,75.87699316628702,4.384133611691024,1.3772954924874792,1.62771285475793,1.669449081803005,21.118530884808013,12.917362270450752,4.173622704507513,-6.1,3.4,—,—,27.75735294117647,,49.26470588235294,,36.94852941176471,,,,,,,29.22794117647059,47.42647058823529,38.419117647058826,,,,,27.573529411764707,52.0,51.0,53.0,49.0,48.0,56.0,52.0,56.0
RL West,Fullback,Timo Kondziella,Wiedenbrück,-0.1496017020562236,0.024046743000075,,-0.2322215756391537,,,0.0005771252016497,-0.2429488453024116,0.0444094515938569,-0.4269867008132623,1258,22.0,,,Left,-0.2111602546357641,-0.2890688419457616,-0.0130624199652412,,,,,,,,Tier 3,Breiter Verteidiger,,,,29.7,679.14,259.62,938.76,1.66,389.82,136.67,526.48,1.4,0.55,0.57,1.04,2.02,74.01,425.62,276.67,2.361538461538461,78.26086956521739,80.0,92.3076923076923,97.6923076923077,71.8875502008032,99.59871589085073,98.51515151515152,89.50086058519794,73.55134825014343,62.47848537005164,44.52094090648308,95.23809523809524,78.85829030407344,47.50430292598967,85.7,84.2,🔥 Top-Athlet,—,27.692307692307693,,30.76923076923077,,27.692307692307693,,,62.30769230769231,,,,60.0,49.23076923076923,38.46153846153847,25.384615384615383,44.61538461538462,,,25.384615384615383,54.0,48.0,50.0,50.0,61.0,43.0,62.0,50.0
